datetime,pv_kwh,ev_kwh,mall_kwh,load_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_export_kwh,bess_charge_kwh,bess_discharge_kwh,bess_action_kwh,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_bess_kwh,grid_import_ev_kwh,grid_import_mall_kwh,grid_import_kwh,grid_export_kwh_metric,soc_percent,soc_kwh,is_peak_hour,tariff_rate_soles_kwh,cost_grid_import_soles,cost_if_grid_import_soles,cost_avoided_by_bess_soles,cost_savings_hp_soles,cost_savings_hfp_soles,savings_bess_soles,tariff_index_hp_hfp,co2_grid_kg,co2_avoided_kg,bess_energy_stored_hourly_kwh,bess_energy_delivered_hourly_kwh,bess_balance_error_hourly_kwh,bess_balance_error_hourly_percent,mall_grid_import_kwh,bess_mode
2024-01-01 00:00:00,0.0,0.0,531.1095890410959,531.1095890410959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.1095890410959,531.1095890410959,0.0,20.08219178082192,401.64383561643837,0.0,0.28,148.71068493150688,148.71068493150688,0.0,0.0,0.0,0.0,1.0,240.11464520547943,0.0,0.0,0.0,0.0,0.0,531.1095890410959,idle
2024-01-01 01:00:00,0.0,0.0,483.0383561643836,483.0383561643836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0383561643836,483.0383561643836,0.0,20.08219178082192,401.64383561643837,0.0,0.28,135.2507397260274,135.2507397260274,0.0,0.0,0.0,0.0,1.0,218.38164082191778,0.0,0.0,0.0,0.0,0.0,483.0383561643836,idle
2024-01-01 02:00:00,0.0,0.0,469.65205479452055,469.65205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.65205479452055,469.65205479452055,0.0,20.08219178082192,401.64383561643837,0.0,0.28,131.50257534246575,131.50257534246575,0.0,0.0,0.0,0.0,1.0,212.32969397260274,0.0,0.0,0.0,0.0,0.0,469.65205479452055,idle
2024-01-01 03:00:00,0.0,0.0,459.66301369863015,459.66301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.66301369863015,459.66301369863015,0.0,20.08219178082192,401.64383561643837,0.0,0.28,128.70564383561646,128.70564383561646,0.0,0.0,0.0,0.0,1.0,207.8136484931507,0.0,0.0,0.0,0.0,0.0,459.66301369863015,idle
2024-01-01 04:00:00,0.0,0.0,453.4849315068493,453.4849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.4849315068493,453.4849315068493,0.0,20.08219178082192,401.64383561643837,0.0,0.28,126.97578082191782,126.97578082191782,0.0,0.0,0.0,0.0,1.0,205.02053753424656,0.0,0.0,0.0,0.0,0.0,453.4849315068493,idle
2024-01-01 05:00:00,0.0,0.0,434.57260273972605,434.57260273972605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.57260273972605,434.57260273972605,0.0,20.08219178082192,401.64383561643837,0.0,0.28,121.68032876712331,121.68032876712331,0.0,0.0,0.0,0.0,1.0,196.47027369863014,0.0,0.0,0.0,0.0,0.0,434.57260273972605,idle
2024-01-01 06:00:00,144.18146501620757,0.0,513.6575342465753,513.6575342465753,0.0,139.94047420657276,4.240990809634811,0.0,339.9404742065728,0.0,339.9404742065728,0.0,0.0,200.0,0.0,509.4165434369405,709.4165434369405,0.0,36.64884123866342,732.9768247732684,0.0,0.28,198.63663216234337,143.82410958904111,0.0,0.0,39.18333277784038,39.18333277784038,1.0,320.7272192878408,1.917351945035898,331.3329891568301,0.0,-331.3329891568301,100.0,509.4165434369405,charge
2024-01-01 07:00:00,1098.1227024433772,0.0,660.4301369863014,660.4301369863014,0.0,392.4106761605781,505.4218000008982,200.290226281901,591.8627309550986,0.0,591.8627309550986,0.0,0.0,199.45205479452054,0.0,155.00833698540316,354.4603917799237,200.290226281901,65.49266283354514,1309.8532566709027,0.0,0.28,99.24890969837864,184.9204383561644,0.0,0.0,109.87498932496187,109.87498932496187,1.0,160.2515431237035,228.50119578040608,576.8764318976345,0.0,-576.8764318976345,100.0,155.00833698540316,charge
2024-01-01 08:00:00,2137.977860921822,0.0,868.1342465753424,868.1342465753424,0.0,398.675665131679,803.2177023312486,936.0844934588943,414.6059698012517,0.0,414.6059698012517,0.0,0.0,15.930304669572653,0.0,64.91654424409388,80.84684891366655,936.0844934588943,85.69805844245951,1713.96116884919,0.0,0.28,22.637117695826635,243.0775890410959,0.0,0.0,111.62918623687015,111.62918623687015,1.0,36.550860393868646,363.13472322395745,404.10791217828756,0.0,-404.10791217828756,100.0,64.91654424409388,charge
2024-01-01 09:00:00,2566.341640520901,41.178871232876716,1120.8794520547945,1162.0583232876713,41.178871232876716,288.36836391008836,1075.2715337717875,1161.5228716061483,288.36836391008836,0.0,288.36836391008836,0.0,0.0,0.0,0.0,45.60791828300691,45.60791828300691,1161.5228716061483,99.75139413536283,1995.0278827072564,0.0,0.28,12.770217119241934,325.376330520548,0.0,0.0,80.74314189482475,80.74314189482475,1.0,20.619339855747423,504.7472281026088,281.06671385806624,0.0,-281.06671385806624,99.72602739726027,45.60791828300691,charge
2024-01-01 10:00:00,2706.9822041216216,46.571342465753425,1711.6657534246576,1758.237095890411,46.571342465753425,5.10128470638307,1675.9970378928072,979.3125390566781,5.10128470638307,0.0,5.10128470638307,0.0,0.0,0.0,0.0,35.668715531850374,35.668715531850374,979.3125390566781,100.0,2000.0,0.0,0.28,9.987240348918105,492.3063868493151,0.0,0.0,1.4283597177872596,1.4283597177872596,1.0,16.125826291949554,778.7731647601053,4.972117292743496,0.0,-4.972117292743496,36.8553813200947,35.668715531850374,charge
2024-01-01 11:00:00,2759.903510689014,55.97359999999999,2194.276712328767,2250.2503123287674,55.97359999999999,0.0,2146.9101145168243,557.0197961721897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36659781194276,47.36659781194276,557.0197961721897,100.0,2000.0,0.0,0.28,13.262647387343975,630.0700874520548,0.0,0.0,0.0,0.0,1.0,21.41443887077932,995.9237273330563,0.0,0.0,0.0,0.0,47.36659781194276,idle
2024-01-01 12:00:00,2766.1630518904035,68.49318356164382,2240.3616438356166,2308.85482739726,68.49318356164382,0.0,2185.4337627983336,512.2361055304261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.92788103728283,54.92788103728283,512.2361055304261,100.0,2000.0,0.0,0.28,15.379806690439192,646.479351671233,0.0,0.0,0.0,0.0,1.0,24.832895016955565,1019.0003724493458,0.0,0.0,0.0,0.0,54.92788103728283,idle
2024-01-01 13:00:00,2701.0016355567413,80.88706849315066,2250.709589041096,2331.596657534247,80.88706849315066,0.0,2165.4422126857535,454.6723543778372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2673763553423,85.2673763553423,454.6723543778372,100.0,2000.0,0.0,0.28,23.87486537949584,652.8470641095892,0.0,0.0,0.0,0.0,1.0,38.549380850250245,1015.5654680209826,0.0,0.0,0.0,0.0,85.2673763553423,idle
2024-01-01 14:00:00,2595.451568624505,90.85496986301365,2273.750684931507,2364.6056547945204,90.85496986301365,0.0,2143.786179413259,360.8104193482324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.9645055182479,129.9645055182479,360.8104193482324,100.0,2000.0,0.0,0.28,36.39006154510942,662.0895833424657,0.0,0.0,0.0,0.0,1.0,58.75695294479988,1010.2812635878029,0.0,0.0,0.0,0.0,129.9645055182479,idle
2024-01-01 15:00:00,2039.1425282720033,102.09242739726022,2281.117808219178,2383.2102356164382,102.09242739726022,0.0,1839.7578398102228,97.29226106452032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.35996840895547,441.35996840895547,97.29226106452032,100.0,2000.0,0.0,0.28,123.58079115450754,667.2988659726028,0.0,0.0,0.0,0.0,1.0,199.53884171768874,877.910505804503,0.0,0.0,0.0,0.0,441.35996840895547,idle
2024-01-01 16:00:00,1035.828833327213,111.2809972602739,2264.3671232876713,2375.6481205479454,111.2809972602739,0.0,919.8679880288051,4.679848038133755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.499135258866,1344.499135258866,4.679848038133755,100.0,2000.0,0.0,0.28,376.45975787248256,665.1814737534247,0.0,0.0,0.0,0.0,1.0,607.8480590505334,466.1824562491926,0.0,0.0,0.0,0.0,1344.499135258866,idle
2024-01-01 17:00:00,168.1199025109801,121.50029589041088,2243.6520547945206,2365.1523506849317,105.87883027034387,0.0,62.24107224063623,0.0,0.0,16.027285554031245,16.027285554031245,15.621465620067015,0.0,0.0,2.4333655334250007e-18,2181.4109825538844,2181.4109825538844,0.0,99.19863572229843,1983.9727144459687,0.0,0.28,610.7950751150877,662.2426581917808,4.3740103736187645,0.0,0.0,0.0,1.0,986.2159052126111,83.0694725320464,0.0,15.621465620067015,15.621465620067015,1562.1465620067015,2181.4109825538844,discharge
2024-01-01 18:00:00,0.0,129.09249315068485,2219.7917808219177,2348.884273972603,0.0,0.0,0.0,0.0,0.0,400.0,400.0,129.09249315068485,260.7792806416737,0.0,0.0,1959.0125001802442,1959.0125001802442,0.0,79.19863572229843,1583.9727144459687,1.0,0.45,881.5556250811098,1056.9979232876713,175.44229820656136,66.27820154470095,0.0,66.27820154470095,1.607142857142857,885.6695513314884,176.26102893152532,0.0,389.8717737923585,389.8717737923585,38987.17737923585,1959.0125001802442,discharge
2024-01-01 19:00:00,0.0,133.9318904109588,2189.3698630136987,2323.3017534246574,0.0,0.0,0.0,0.0,0.0,400.0,400.0,133.9318904109588,255.93988338139974,0.0,0.0,1933.429979632299,1933.429979632299,0.0,59.19863572229844,1183.972714445969,1.0,0.45,870.0434908345345,1045.4857890410958,175.44229820656136,66.27820154470095,0.0,66.27820154470095,1.607142857142857,874.1036937917622,176.26102893152532,0.0,389.8717737923585,389.8717737923585,38987.17737923585,1933.429979632299,discharge
2024-01-01 20:00:00,0.0,136.7223999999999,2147.9753424657533,2284.6977424657534,0.0,0.0,0.0,0.0,0.0,400.0,400.0,136.7223999999999,253.14937379235866,0.0,0.0,1894.8259686733948,1894.8259686733948,0.0,39.19863572229844,783.9727144459688,1.0,0.45,852.6716859030278,1028.113984109589,175.44229820656136,66.27820154470095,0.0,66.27820154470095,1.607142857142857,856.6508204372418,176.26102893152532,0.0,389.8717737923585,389.8717737923585,38987.17737923585,1894.8259686733948,discharge
2024-01-01 21:00:00,0.0,0.0,1990.4794520547946,1990.4794520547946,0.0,0.0,0.0,0.0,0.0,383.97271444596873,383.97271444596873,0.0,374.25030817229145,0.0,0.0,1616.229143882503,1616.229143882503,0.0,20.000000000000004,400.00000000000006,1.0,0.45,727.3031147471264,895.7157534246576,168.41263867753116,63.622552389289545,0.0,63.622552389289545,1.607142857142857,730.6971959492796,169.19856432469297,0.0,374.25030817229145,374.25030817229145,37425.03081722915,1616.229143882503,discharge
2024-01-01 22:00:00,0.0,0.0,1227.5835616438355,1227.5835616438355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899731463234911e-14,0.0,0.0,1227.5835616438355,1227.5835616438355,0.0,20.0,400.0,1.0,0.45,552.412602739726,552.412602739726,2.65487915845571e-14,1.0029543487499348e-14,0.0,1.0029543487499348e-14,1.607142857142857,554.990528219178,2.667268594528503e-14,0.0,5.899731463234911e-14,5.899731463234911e-14,5.89973146323491e-12,1227.5835616438355,idle
2024-01-01 23:00:00,0.0,0.0,656.9972602739726,656.9972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.9972602739726,656.9972602739726,0.0,20.0,400.0,0.0,0.28,183.95923287671235,183.95923287671235,0.0,0.0,0.0,0.0,1.0,297.028461369863,0.0,0.0,0.0,0.0,0.0,656.9972602739726,idle
