scenario_id,pe,fc,chargers_required,sockets_total,energy_day_kwh,peak_sessions_per_hour,session_minutes,utilization,charger_power_kw,sockets_per_charger,vehicles_day_motos,vehicles_day_mototaxis,vehicles_month_motos,vehicles_month_mototaxis,vehicles_year_motos,vehicles_year_mototaxis
2,0.30000000000000004,0.8,1,4,69.12000000000002,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
3,0.7000000000000001,0.7,3,12,141.12,22.400000000000002,20.0,0.85,2.125,4,78,11,2340,330,28470,4015
4,0.1,0.5,1,4,14.400000000000002,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
6,0.4,0.5,2,8,57.60000000000001,12.8,20.0,0.85,2.125,4,45,6,1350,180,16425,2190
7,0.4,1.0,2,8,115.20000000000002,12.8,20.0,0.85,2.125,4,45,6,1350,180,16425,2190
8,1.0,0.5,4,16,144.0,32.0,20.0,0.85,2.125,4,112,16,3360,480,40880,5840
9,0.8,0.8,3,12,184.32000000000002,25.6,20.0,0.85,2.125,4,90,13,2700,390,32850,4745
11,1.0,0.7,4,16,201.59999999999997,32.0,20.0,0.85,2.125,4,112,16,3360,480,40880,5840
12,0.1,0.7,1,4,20.16,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
13,0.2,1.0,1,4,57.60000000000001,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
14,0.9,0.5,3,12,129.6,28.8,20.0,0.85,2.125,4,101,14,3030,420,36865,5110
15,0.1,0.285,1,4,8.208,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
16,0.2,0.6,1,4,34.56,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
17,0.2,0.7,1,4,40.32,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
18,1.0,0.4,4,16,115.20000000000002,32.0,20.0,0.85,2.125,4,112,16,3360,480,40880,5840
20,0.30000000000000004,0.7,1,4,60.480000000000004,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
22,0.5,0.7,2,8,100.79999999999998,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
23,0.6,0.7,2,8,120.96,19.2,20.0,0.85,2.125,4,67,10,2010,300,24455,3650
24,0.9,0.6,3,12,155.51999999999998,28.8,20.0,0.85,2.125,4,101,14,3030,420,36865,5110
26,1.0,0.6,4,16,172.8,32.0,20.0,0.85,2.125,4,112,16,3360,480,40880,5840
28,0.5,1.0,2,8,144.0,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
30,0.7000000000000001,0.285,3,12,57.456,22.400000000000002,20.0,0.85,2.125,4,78,11,2340,330,28470,4015
32,0.30000000000000004,0.5,1,4,43.20000000000001,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
33,0.5,0.8,2,8,115.20000000000002,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
37,0.8,0.285,3,12,65.664,25.6,20.0,0.85,2.125,4,90,13,2700,390,32850,4745
38,0.6,0.285,2,8,49.24799999999999,19.2,20.0,0.85,2.125,4,67,10,2010,300,24455,3650
40,0.4,0.4,2,8,46.080000000000005,12.8,20.0,0.85,2.125,4,45,6,1350,180,16425,2190
42,0.2,0.285,1,4,16.416,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
45,0.5,0.285,2,8,41.04,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
47,0.30000000000000004,0.4,1,4,34.56000000000001,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
48,0.8,0.6,3,12,138.24,25.6,20.0,0.85,2.125,4,90,13,2700,390,32850,4745
49,0.9,0.285,3,12,73.872,28.8,20.0,0.85,2.125,4,101,14,3030,420,36865,5110
50,0.9,0.9,3,12,233.28,28.8,20.0,0.85,2.125,4,101,14,3030,420,36865,5110
51,0.30000000000000004,0.6,1,4,51.84000000000001,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
52,0.4,0.285,2,8,32.832,12.8,20.0,0.85,2.125,4,45,6,1350,180,16425,2190
53,0.30000000000000004,0.285,1,4,24.624000000000006,9.600000000000001,20.0,0.85,2.1250000000000004,4,34,5,1020,150,12410,1825
56,0.5,0.6,2,8,86.4,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
60,0.2,0.4,1,4,23.040000000000003,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
61,0.1,0.9,1,4,25.920000000000005,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
62,0.8,0.9,3,12,207.36000000000004,25.6,20.0,0.85,2.125,4,90,13,2700,390,32850,4745
66,0.4,0.6,2,8,69.12,12.8,20.0,0.85,2.125,4,45,6,1350,180,16425,2190
71,0.8,0.4,3,12,92.16000000000001,25.6,20.0,0.85,2.125,4,90,13,2700,390,32850,4745
73,0.5,0.5,2,8,72.0,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
74,0.5,0.4,2,8,57.60000000000001,16.0,20.0,0.85,2.125,4,56,8,1680,240,20440,2920
80,0.2,0.5,1,4,28.800000000000004,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
81,0.1,0.6,1,4,17.28,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
84,0.7000000000000001,0.4,3,12,80.64000000000001,22.400000000000002,20.0,0.85,2.125,4,78,11,2340,330,28470,4015
85,0.2,0.9,1,4,51.84000000000001,6.4,20.0,0.85,2.125,4,22,3,660,90,8030,1095
88,0.9,0.4,3,12,103.68,28.8,20.0,0.85,2.125,4,101,14,3030,420,36865,5110
89,0.6,0.8,2,8,138.24,19.2,20.0,0.85,2.125,4,67,10,2010,300,24455,3650
90,1.0,0.9,4,16,259.2,32.0,20.0,0.85,2.125,4,112,16,3360,480,40880,5840
94,0.1,1.0,1,4,28.800000000000004,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
97,0.7000000000000001,1.0,3,12,201.60000000000002,22.400000000000002,20.0,0.85,2.125,4,78,11,2340,330,28470,4015
101,0.1,0.4,1,4,11.520000000000001,3.2,20.0,0.85,2.125,4,11,2,330,60,4015,730
