datetime,pv_generation_kwh,ev_demand_kwh,mall_demand_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,pv_curtailed_kwh,bess_charge_kwh,bess_discharge_kwh,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_ev_kwh,grid_to_mall_kwh,grid_to_bess_kwh,grid_import_total_kwh,bess_soc_percent,tariff_osinergmin_soles_kwh,cost_grid_import_soles,peak_reduction_savings_soles,peak_reduction_savings_normalized,co2_avoided_indirect_kg,co2_avoided_indirect_normalized,mall_grid_import_kwh,bess_action_kwh,bess_mode
2024-01-01 00:00:00,0.0,0.0,531.1095890410959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.1095890410959,0.0,531.1095890410959,24.057589234321025,0.28,148.71068493150688,0.0,0.0,0.0,0.0,531.1095890410959,0.0,idle
2024-01-01 01:00:00,0.0,0.0,483.0383561643836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0383561643836,0.0,483.0383561643836,24.057589234321025,0.28,135.2507397260274,0.0,0.0,0.0,0.0,483.0383561643836,0.0,idle
2024-01-01 02:00:00,0.0,0.0,469.65205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.65205479452055,0.0,469.65205479452055,24.057589234321025,0.28,131.50257534246575,0.0,0.0,0.0,0.0,469.65205479452055,0.0,idle
2024-01-01 03:00:00,0.0,0.0,459.66301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.66301369863015,0.0,459.66301369863015,24.057589234321025,0.28,128.70564383561646,0.0,0.0,0.0,0.0,459.66301369863015,0.0,idle
2024-01-01 04:00:00,0.0,0.0,453.4849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.4849315068493,0.0,453.4849315068493,24.057589234321025,0.28,126.97578082191782,0.0,0.0,0.0,0.0,453.4849315068493,0.0,idle
2024-01-01 05:00:00,0.0,0.0,434.57260273972605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.57260273972605,0.0,434.57260273972605,24.057589234321025,0.28,121.68032876712331,0.0,0.0,0.0,0.0,434.57260273972605,0.0,idle
2024-01-01 06:00:00,144.18146501620757,0.0,513.6575342465753,0.0,0.6409119281596332,143.54055308804794,0.0,0.6409119281596332,0.0,0.0,0.0,0.0,370.1169811585274,0.0,370.1169811585274,24.094335332891067,0.28,103.63275472438768,0.0,0.0,0.0,0.0,370.1169811585274,,charge
2024-01-01 07:00:00,1098.1227024433772,0.0,660.4301369863014,0.0,279.0345747531141,618.7979014083622,0.0,279.0345747531141,0.0,0.0,0.0,0.0,41.63223557793915,0.0,41.63223557793915,40.092527187066516,0.28,11.657025961822962,0.0,0.0,0.0,0.0,41.63223557793915,,charge
2024-01-01 08:00:00,2137.977860921822,0.0,868.1342465753424,0.0,357.4206284771287,844.8596869387275,0.0,357.4206284771287,0.0,0.0,0.0,0.0,23.274559636615038,0.0,23.274559636615038,60.13930423038639,0.28,6.516876698252211,0.0,0.0,0.0,0.0,23.274559636615038,,charge
2024-01-01 09:00:00,2566.341640520901,29.488898630136987,1120.8794520547945,29.488898630136987,352.60809677363204,1103.7721186714675,75.19455070810264,352.60809677363204,0.0,0.0,0.0,0.0,17.107333383326985,0.0,17.107333383326985,79.76429253547403,0.28,4.790053347331557,0.0,0.0,0.0,0.0,17.107333383326985,,charge
2024-01-01 10:00:00,2706.9822041216216,36.163495890410964,1711.6657534246576,36.163495890410964,326.4126233406841,1678.6243535972117,131.33194516936166,326.4126233406841,0.1961287414125888,0.0,0.1894324413282607,0.0,32.85196738611763,0.0,32.85196738611763,91.91161290912447,0.28,9.198550868112937,0.053041083571913,0.0003713394239869795,0.08564240672450667,0.00047358110332065167,32.85196738611763,,charge
2024-01-01 11:00:00,2759.903510689014,44.84927123287672,2194.276712328767,44.84927123287672,86.33730475593137,2148.1247631940028,433.0357370925124,86.33730475593137,10.934120701226222,0.0,10.909540145616965,0.0,37.35222058806769,0.0,37.35222058806769,93.68933329021942,0.28,10.458621764658954,3.054671240772751,0.02138568412691337,4.932203099833431,0.027273850364042413,37.35222058806769,,charge
2024-01-01 12:00:00,2766.1630518904035,55.018290410958905,2240.3616438356166,55.018290410958905,31.425694119899994,2186.541264396988,478.4434629370808,31.425694119899994,14.501271232876714,0.0,14.501271232876714,0.0,44.27203963852169,0.0,44.27203963852169,94.24721789711971,0.28,12.396171098786073,4.0603559452054805,0.028426459950247413,6.556024724383563,0.036253178082191785,44.27203963852169,,charge
2024-01-01 13:00:00,2701.0016355567413,64.25713972602739,2250.709589041096,64.25713972602739,28.333322306394226,2167.7838385932046,430.8085165504736,28.333322306394226,33.09507533738365,0.0,33.045429515719945,0.0,56.81989850548116,0.0,56.81989850548116,93.60885769699586,0.28,15.909571581534728,9.252720264401585,0.06477808487145914,14.939838684056987,0.08261357378929986,56.81989850548116,,charge
2024-01-01 14:00:00,2595.451568624505,74.1119123287671,2273.750684931507,74.1119123287671,23.02548525012502,2147.6990791516128,344.9120556826438,23.02548525012502,66.91783920968054,0.0,66.86422834508691,0.0,75.5572889401346,0.0,75.5572889401346,90.70002204516719,0.28,21.156040903237688,18.721983936624337,0.13107218523342892,30.229317634813796,0.1671605708627173,75.5572889401346,,charge
2024-01-01 15:00:00,2039.1425282720033,83.07422465753422,2281.117808219178,83.07422465753422,6.300746111840725,1852.654785122716,95.85062697546344,6.300746111840725,219.75128786636716,0.0,219.57009224017207,0.0,245.6720913846493,0.0,245.6720913846493,77.66944268062743,0.28,68.78818558770182,61.479625827248185,0.4304174670691401,99.2676387017818,0.5489252306004302,245.6720913846493,,charge
2024-01-01 16:00:00,1035.828833327213,91.63430136986298,2264.3671232876713,91.63430136986298,0.0,939.4895441931887,4.704987764161152,0.0,282.86006793048773,0.0,282.50864919149757,0.0,1042.3689299029847,0.0,1042.3689299029847,60.61957454255121,0.28,291.8633003728358,79.10242177361934,0.5537942620943236,127.72216029947606,0.706271622978744,1042.3689299029847,,discharge
2024-01-01 17:00:00,168.1199025109801,100.18180821917802,2243.6520547945206,91.56186847835032,0.0,76.55803403262978,0.0,0.0,249.38889996047726,7.333180525113734,241.32389284834284,1.286759215713976,1925.7701279135479,0.0,1927.0568871292621,45.612705461726726,0.28,539.5759283961934,67.570689997536,0.47306086928010344,112.41786287213971,0.6216426834336414,1925.7701279135479,,discharge
2024-01-01 18:00:00,0.0,107.81171506849309,2219.7917808219177,0.0,0.0,0.0,0.0,0.0,197.160338631079,85.86775835204922,110.08577634458013,21.94395671644387,2109.7060044773375,0.0,2131.6499611937816,33.78658283741444,0.45,959.2424825372018,49.53859935506105,0.3468186113635736,88.59059303634612,0.4898838367415733,2109.7060044773375,,discharge
2024-01-01 19:00:00,0.0,112.110608219178,2189.3698630136987,0.0,0.0,0.0,0.0,0.0,98.0662315302872,49.093886907401114,48.11781998032792,63.0167213117769,2141.2520430333707,0.0,2204.2687643451477,27.91969419999931,0.45,991.9209439553164,21.653018991147565,0.151592295222446,43.9494126839423,0.24302926721932258,2141.2520430333707,,discharge
2024-01-01 20:00:00,0.0,114.91368767123282,2147.9753424657533,0.0,0.0,0.0,0.0,0.0,45.364127435040935,28.04617210184346,17.008937160574348,86.86751556938935,2130.966405305179,0.0,2217.8339208745683,25.200543214465664,0.45,998.0252643935557,7.654021722258457,0.05358563261012156,20.369414897539095,0.11263777315604452,2130.966405305179,,discharge
2024-01-01 21:00:00,0.0,117.42766027397253,1990.4794520547946,0.0,0.0,0.0,0.0,0.0,20.4220659325499,19.830919726914075,0.46919468983024315,97.59674054705845,1990.0102573649642,0.0,2087.606997912023,23.97539745349911,0.45,939.4231490604103,0.2111376104236094,0.0014781696254449778,9.177681727810107,0.0507502860418608,1990.0102573649642,,discharge
2024-01-01 22:00:00,0.0,98.37174794520543,1227.5835616438355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.37174794520543,1227.5835616438355,0.0,1325.955309589041,23.97539745349911,0.28,371.2674866849315,0.0,0.0,0.0,0.0,1227.5835616438355,0.0,idle
2024-01-01 23:00:00,0.0,0.0,656.9972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.9972602739726,0.0,656.9972602739726,23.97539745349911,0.28,183.95923287671235,0.0,0.0,0.0,0.0,656.9972602739726,0.0,idle
